".id","dates","totals","doi"
"wos",2012-11-02,0,"10.1371/journal.pone.0043938"
"pmc",2012-09-12,0,"10.1371/journal.pone.0043938"
"pmc",2012-10-03,23,"10.1371/journal.pone.0043938"
"facebook",2012-09-12,0,"10.1371/journal.pone.0043938"
"facebook",2012-09-19,0,"10.1371/journal.pone.0043938"
"facebook",2012-09-26,0,"10.1371/journal.pone.0043938"
"facebook",2012-10-04,0,"10.1371/journal.pone.0043938"
"facebook",2012-10-11,0,"10.1371/journal.pone.0043938"
"facebook",2012-10-19,0,"10.1371/journal.pone.0043938"
"facebook",2012-10-26,0,"10.1371/journal.pone.0043938"
"facebook",2012-11-03,0,"10.1371/journal.pone.0043938"
"mendeley",2012-09-12,0,"10.1371/journal.pone.0043938"
"mendeley",2012-09-19,0,"10.1371/journal.pone.0043938"
"mendeley",2012-09-26,0,"10.1371/journal.pone.0043938"
"mendeley",2012-10-03,0,"10.1371/journal.pone.0043938"
"mendeley",2012-10-11,0,"10.1371/journal.pone.0043938"
"mendeley",2012-10-18,0,"10.1371/journal.pone.0043938"
"mendeley",2012-10-25,0,"10.1371/journal.pone.0043938"
"mendeley",2012-11-02,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-12,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-13,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-20,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
"twitter",2012-09-21,0,"10.1371/journal.pone.0043938"
